,Recommendation,agrees,disagrees,Rationale,neutral/pass,approval,majority
19,"Create or update a website that compiles ALL information/resources regarding sustainability initiatives on campus, so students and faculty have a centralized point of reference to stay in touch and be aware of MIT's role in sustainability. This would include regularly updated lists of majors, minors,, clubs, research projects, classes, etc. related to sustainability. It may alo act as a platform to announce upcoming events and talks to connect students with their sustainability interests. This could potentially be implemented as a UROP to incentivizr engagement for whoever develops it.",18,0,"Current sustainability groups and online resources are decentralized and out of date, resulting in a lack of awareness about on-campus activities. This creates a barrier of entry into the sutainability effort for not only students, but also faculty who require interest and manpower for sutstainability research",0,100.0,✅
11,"Revamp the Office of Sustainability so that they have better connections and communication with student led groups. Doing so would facilitate communication between student groups better making sustainability topic at MIT more present under the umbreall of MITOS. Furthermore, increase MITOS presence possibly through creating/promoting student evetns, student initiatives etc",17,0,"As the MIT administration's headquarters for sustainability, it would make sense for it to also be the centralized hub of information for students interested in exploring. From MITOS, students should be able to hear about the different groups and opportunities on campus.",1,94.44444444444444,✅
13,"MIT should implement and advertise GTL and MISTI programs centered around sustainability and partner with more sustainable companies for jobs, internships, or research opportunities, allowing students to explore different approaches and technologies globally.",17,1,MISTI programs are valuable as they allow students to discover how problems related to climate change might be explored differently in other countries or settings. GTL are needed in order to educate more people about new technologies and solutions around sustainability.,0,94.44444444444444,✅
23,Increase transparency on the allocation of MIT's invenstment and endowment from fossil fuel companies (how much of mit is actually funded by fossil fuels and how does. it comapre to the totality of MIT's funding) (like a public report analyzing the statistics and data) (and avoid breaching contract terms affiliated with transparency),16,1,"Currently, MIT's investment in fossil fuel companies is contradictory to its sustainability goals, and increasee. transparency on the specific impact of and MIT's reliance on this funding is necessary to hold MIT accountable to its commitment to sustainability/to acknowledge what current actions should take place",1,88.88888888888889,✅
4,"MIT should implement an educational program similar to GTL for the purpose of educating youth about low-cost sustainable practices and climate science. The program should be no-cost for participants, and prioritize those from low-income communities or those where climate science is not included in public school district curriculum. When possible, MIT student educators should be matched to programs in communities similar to their own background, to improve communicability and understanding of local climate challenges.",16,2,"Education is commonly acknowledged as one of the most important and viable ways to spread sustainability and its practices. Individuals not exposed to climate science in primary or secondary school may never receive that information in an educational setting, decreasing the chance of their adoption of sustainable practices. Knowledge is most powerful when shared.",0,88.88888888888889,✅
5,"Make MIT's public transportation more usable and approachable for students, such as improving the accuracy of shuttles' live locations, adding more shuttles to every route, and extending the Boston route further.",16,1,The current shuttle service is so inefficient that students would choose to Uber to places nearby instead of waiting for shuttles to arrive. A better system would encourage more students to take advantage of public transporation and reduce carbon emission.,1,88.88888888888889,✅
6,"MIT should expand its collaboration with Eversource to reduce powergrid reliance on fossil fuels. This could mean by funding, planning and infrastructure upgrades, and/or project development. In order to electrify buildings and decarbonize, MIT Campus Services & Campus Planning is already working with Eversource to move to a greener grid, but this plan needs to be accelerated and placed at the forefront of efforts. However, MIT must also ensure equity with this process, whether through modeling, subsidies, or other means.",16,1,"While MIT doesn’t need to rely completely on Eversource’s power grid, most of Massachusetts does. It’s important that MIT’s campus not become a bubble for sustainability. The institution should do what it can to allow renewable energy to source its surrounding area as well. Renewable energy is also much cheaper than fossil fuels in the long-term (price per kwh is less), so residents will see cheaper electricity bills in the future.",1,88.88888888888889,✅
18,Increased messaging from MIT Office of Sustainability on how to get involved on campus. This should include email messages and/or a newsletter. This can also include events at dorms or advertising through house gov meetings. Food can be used to drive attendance.,16,1,Raises awareness of sustainability opportunities on campus,1,88.88888888888889,✅
20,"Increase awareness of sustainability midway. Include student groups, researchers/UROP opportunities, and companies. Advertise through dormspam and encourage professors to advertise to classes.",16,0,"A sustainability fiar would give students a chance to network and get involved in student groups, research and activism, and learn about opportunities workin gin renewable energy and climate change mitigation",2,88.88888888888889,✅
16,"Centralize al information (education, research, operations) (e.g. courseroads, UROPs, current projects, initiatives) under the MIT Offcie of sustainability, connecting offices and departments. MITOS serves as central point of contact and information distributor",15,1,there is too much bureaucracy and decentralization for effective information distribution; students have limited avenues of finding all opportunities to become involced with MIT sustainability initiatives,2,83.33333333333334,✅
